epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.01	50.8	94.3	29.4	95.8
1	0:0	0.01	27.8	95.1	24.8	96.0
2	0:0	0.01	25.0	95.4	23.5	96.2
3	0:0	0.01	24.1	95.4	22.7	96.2
4	0:0	0.01	23.4	95.4	21.8	96.2
5	0:0	0.01	22.8	95.6	21.3	96.3
6	0:0	0.01	22.8	95.6	20.6	96.2
7	0:0	0.01	23.0	95.4	22.4	96.2
8	0:0	0.01	22.9	95.5	22.8	96.3
9	0:0	0.01	23.0	95.6	22.4	96.2
10	0:0	0.01	23.1	95.6	21.0	96.3
11	0:0	0.01	23.2	95.6	22.0	96.1
12	0:0	0.01	23.0	95.7	22.0	96.2
13	0:0	0.01	23.5	95.6	22.7	96.3
14	0:0	0.01	23.5	95.6	22.3	96.2
15	0:0	0.01	23.7	95.7	22.7	96.2
16	0:0	0.01	23.9	95.6	20.9	96.3
17	0:0	0.01	24.0	95.6	25.1	96.4
18	0:0	0.01	24.1	95.8	21.6	96.2
19	0:0	0.01	24.3	95.6	24.6	96.1
20	0:0	0.01	24.5	95.7	21.8	96.4
21	0:0	0.01	24.6	95.8	23.9	96.4
22	0:0	0.01	24.8	95.7	23.8	96.3
23	0:0	0.01	25.0	95.6	22.5	96.4
24	0:0	0.01	24.7	95.8	22.4	96.1
25	0:0	0.01	25.2	95.7	24.5	96.3
26	0:0	0.01	25.2	95.8	23.0	96.4
27	0:0	0.01	25.2	95.8	25.9	96.3
28	0:0	0.01	25.5	95.8	24.3	96.4
29	0:0	0.001	25.7	95.8	24.6	96.3
30	0:0	0.001	25.8	95.8	25.0	96.2
31	0:0	0.001	25.8	95.7	24.8	96.4
32	0:0	0.001	25.8	95.9	24.8	96.2
33	0:0	0.001	25.7	95.9	24.8	96.4
34	0:0	0.001	25.6	96.0	24.9	96.4
35	0:0	0.001	25.9	95.9	25.0	96.5
36	0:0	0.001	25.7	96.0	24.8	96.4
37	0:0	0.001	25.8	95.8	24.8	96.4
38	0:0	0.001	25.7	95.8	25.0	96.5
39	0:0	0.001	25.9	95.8	24.9	96.5
